name,url,title,description,keywords,seoImg,ShareText,shortTitle
home,/,Memoria de futuro: Luis García Montero y la nueva poesía,"En el Día Mundial de la Poesía, navega este webdoc sobre Luis García Montero y la nueva generación de poetas españoles entre los que destacan Guille Galván, Carlos Pardo, Elvira Sastre, Marwan y Escandar Algeet.","Día Mundial de la Poesía, Día de la Poesía, Día Internacional de la Poesía, webdoc, video, poesia, música, narrativa, garcía montero","./img/seo-general.png",#memoriadefuturo Luis García Montero y la nueva poesía ,home
poemas,/poemas/,La voz de Luis García Montero,Selección de poemas leídos por el autor,"Día Mundial de la Poesía, Día de la Poesía, Día Internacional de la Poesía, webdoc, video, poesia, música, narrativa, garcía montero","./img/seo-general.png",#memoriadefuturo La voz de Luis García Montero: selección de poemas leídos por el autor,poemas
poetas,/poetas/,La nueva poesía en 5 nombres,5 jóvenes poetas nos hablan de lo que les ha supuesto Luis García Montero,"Día Mundial de la Poesía, Día de la Poesía, Día Internacional de la Poesía, webdoc, video, poesia, música, narrativa, garcía montero","./img/seo-general.png",#memoriadefuturo 5 jóvenes poetas nos hablan de lo que les ha supuesto Luis García Montero,poetas
redes,/redes/,El muro de la poesía,#memoriadefuturo en las redes sociales: selección de tweets,"Día Mundial de la Poesía, Día de la Poesía, Día Internacional de la Poesía, webdoc, video, poesia, música, narrativa, garcía montero","./img/seo-general.png",Comparte #memoriadefuturo en las redes sociales y visita nueso muro de la poesía,redes
presentacion,/presentacion/,Introducción al webdoc por Luis,Luis García Montero nos introduce en la nueva poesía,"Día Mundial de la Poesía, Día de la Poesía, Día Internacional de la Poesía, webdoc, video, poesia, música, narrativa, garcía montero","./img/seo-general.png",#memoriadefuturo Luis García Montero nos presenta la nueva poesía,presentacion
